iter	Passed	Remaining
776	998	286
777	999	285
778	1000	283
779	1002	282
780	1003	281
781	1004	279
782	1005	278
783	1006	277
784	1008	276
785	1009	274
786	1010	273
787	1011	272
788	1012	270
789	1013	269
790	1015	268
791	1016	267
792	1017	265
793	1018	264
794	1019	262
795	1020	261
796	1021	260
797	1022	258
798	1023	257
799	1024	256
800	1025	254
801	1026	253
802	1027	252
803	1028	250
804	1029	249
805	1030	248
806	1031	246
807	1032	245
808	1032	243
809	1033	242
810	1034	241
811	1035	239
812	1036	238
813	1037	237
814	1038	235
815	1039	234
816	1040	233
817	1041	231
818	1042	230
819	1043	229
820	1044	227
821	1045	226
822	1046	225
823	1047	223
824	1047	222
825	1048	220
826	1049	219
827	1051	218
828	1052	217
829	1053	215
830	1053	214
831	1054	212
832	1055	211
833	1056	210
834	1057	208
835	1058	207
836	1059	206
837	1059	204
838	1060	203
839	1061	202
840	1062	200
841	1063	199
842	1064	198
843	1065	196
844	1066	195
845	1067	194
846	1068	193
847	1069	191
848	1070	190
849	1070	188
850	1071	187
851	1072	186
852	1073	185
853	1074	183
854	1075	182
855	1076	181
856	1076	179
857	1077	178
858	1078	177
859	1079	175
860	1080	174
861	1081	173
862	1082	171
863	1083	170
864	1084	169
865	1085	167
866	1086	166
867	1087	165
868	1088	164
869	1089	162
870	1089	161
871	1090	160
872	1091	158
873	1092	157
874	1093	156
875	1094	154
876	1095	153
877	1096	152
878	1098	151
879	1099	149
880	1100	148
881	1101	147
882	1102	146
883	1102	144
884	1103	143
885	1104	142
886	1105	140
887	1106	139
888	1107	138
889	1108	137
890	1109	135
891	1110	134
892	1111	133
893	1112	131
894	1113	130
895	1114	129
896	1115	128
897	1115	126
898	1116	125
899	1117	124
900	1118	122
901	1119	121
902	1120	120
903	1120	119
904	1121	117
905	1123	116
906	1124	115
907	1125	114
908	1126	112
909	1127	111
910	1127	110
911	1128	108
912	1129	107
913	1130	106
914	1131	105
915	1131	103
916	1132	102
917	1133	101
918	1134	99
919	1135	98
920	1136	97
921	1137	96
922	1139	95
923	1139	93
924	1140	92
925	1141	91
926	1142	89
927	1143	88
928	1144	87
929	1145	86
930	1145	84
931	1146	83
932	1147	82
933	1148	81
934	1148	79
935	1149	78
936	1151	77
937	1152	76
938	1153	74
939	1154	73
940	1155	72
941	1155	71
942	1156	69
943	1157	68
944	1158	67
945	1159	66
946	1160	64
947	1160	63
948	1161	62
949	1163	61
950	1164	59
951	1165	58
952	1166	57
953	1167	56
954	1168	55
955	1168	53
956	1169	52
957	1170	51
958	1171	50
959	1172	48
960	1172	47
961	1173	46
962	1174	45
963	1175	43
964	1176	42
965	1177	41
966	1178	40
967	1179	38
968	1180	37
969	1181	36
970	1182	35
971	1183	34
972	1184	32
973	1184	31
974	1185	30
975	1186	29
976	1187	27
977	1188	26
978	1189	25
979	1189	24
980	1190	23
981	1191	21
982	1192	20
983	1193	19
984	1194	18
985	1195	16
986	1196	15
987	1197	14
988	1198	13
989	1199	12
990	1199	10
991	1200	9
992	1201	8
993	1202	7
994	1203	6
995	1204	4
996	1205	3
997	1205	2
998	1206	1
999	1207	0
